accountsservice 23.13.9-2.1
alacritty 0.16.1-1.1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5.1
alsa-utils 1.2.15.2-1.1
awesome-terminal-fonts 1.1.0-5
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
bind 9.20.18-1.1
blueman 2.4.6-2.1
bluez 5.86-2.1
bluez-hid2hci 5.86-2.1
bluez-libs 5.86-2.1
bluez-obex 5.86-2.1
bluez-utils 5.86-2.1
brightnessctl 0.5.1-3
btop 1.4.6-1.1
btrfs-progs 6.17.1-2
burpsuite 2026.2-1
cachyos-fish-config 15-1
cachyos-hello 0.19.2-1
cachyos-hooks 2026.02.05-1
cachyos-kernel-manager 1.16.1-1.1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 22-1
cachyos-packageinstaller 1.5.1-2
cachyos-plymouth-bootanimation 2-1
cachyos-rate-mirrors 18-1
cachyos-settings 1:1.3.1-2
cachyos-v3-mirrorlist 22-1
cachyos-v4-mirrorlist 22-1
cachyos-wallpapers r23.964263e-1
cachyos-zsh-config 1.0.3-1
cantarell-fonts 1:0.311-1
chwd 1.18.0-3
cliphist 1:0.7.0-2.1
cpupower 6.19-2
cryptsetup 2.8.4-1.1
device-mapper 2.03.38-1.1
diffutils 3.12-2.1
dirb 2.22-2
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.92-1.1
docker 1:29.2.1-1.1
docker-compose 5.0.2-1.1
dosfstools 4.2-5.1
duf 0.9.1-1.1
e2fsprogs 1.47.3-2.1
efibootmgr 18-3.1
efitools 1.9.2-6.1
egl-wayland 4:1.1.21-1.1
ethtool 1:6.15-1.1
exfatprogs 1.3.1-1.1
f2fs-tools 1.16.0-3.1
fastfetch 2.59.0-1.1
ffmpegthumbnailer 2.3.0-1.1
figlet 2.2.5-6.1
firefox 147.0.3-2.1
flatpak 1:1.16.3-1.1
fsarchiver 0.8.9-1.1
git 2.53.0-1.1
git-lfs 3.7.1-1.1
github-cli 2.86.0-1.1
glances 4.5.0.4-1
gnome-text-editor 49.1-1.1
gnome-themes-extra 1:3.28-1
go 2:1.25.6-2
grim 1.5.0-2.1
grimblast-git r154.541628c-1
gst-libav 1.26.10-5
gst-plugin-pipewire 1:1.4.10-2.1
gst-plugins-bad 1.26.10-5
gst-plugins-ugly 1.26.10-5
gum 0.17.0-1.1
gvfs 1.58.1-1
gvfs-mtp 1.58.1-1
hdparm 9.65-3.1
htop 3.4.1-1.1
hwdetect 2025.08.16.1333-1
hwinfo 25.0-2.1
hypridle 0.1.7-6.1
hyprlock 0.9.2-8.1
hyprpaper 0.8.3-2.1
hyprpicker 0.4.6-1
hyprshade 4.0.1-1
inetutils 2.7-2.1
inotify-tools 4.25.9.0-1.1
intel-ucode 20260210-1
iptables-nft 1:1.8.11-2.1
iwd 3.11-2.1
jfsutils 1.1.15-9.1
kitty 0.45.0-4.1
